"ID","Joining Date","Ethnicity","Date of Birth","Account Type"
863243,2023-01-01,"Other",2007-12-30,"Platinum"
893948,2023-01-01,"White",2013-09-01,"Gold"
871764,2023-01-02,"White",1967-10-29,"Gold"
527712,2023-01-02,"White",1996-09-27,"Platinum"
471554,2023-01-02,"White",1990-04-22,"Basic"
761244,2023-01-02,"White",1942-12-26,"Platinum"
845293,2023-01-02,"Black",1946-05-28,"Platinum"
490910,2023-01-03,"White",1981-05-23,"Basic"
349505,2023-01-03,"White",1961-09-13,"Basic"
754791,2023-01-03,"Other",1952-07-17,"Basic"
604893,2023-01-04,"White",1959-11-10,"Platinum"
246208,2023-01-04,"White",1996-09-11,"Platinum"
223982,2023-01-04,"White",1956-08-12,"Gold"
311919,2023-01-04,"Other",1961-06-26,"Gold"
920752,2023-01-04,"White",1990-09-01,"Gold"
899966,2023-01-05,"White",2015-02-13,"Gold"
806747,2023-01-05,"Other",2007-05-31,"Basic"
929308,2023-01-05,"Other",2004-10-19,"Basic"
314042,2023-01-05,"Asian",1986-12-26,"Platinum"
829199,2023-01-05,"Other",1978-01-25,"Basic"
809513,2023-01-06,"Black",1951-01-01,"Basic"
840464,2023-01-06,"Asian",1968-07-18,"Gold"
543545,2023-01-08,"Asian",1986-08-30,"Basic"
191607,2023-01-09,"White",1963-03-15,"Gold"
602662,2023-01-09,"Other",1958-03-07,"Basic"
491519,2023-01-10,"Asian",1955-04-04,"Gold"
716354,2023-01-10,"Black",1997-12-18,"Gold"
174968,2023-01-10,"Other",1980-09-30,"Platinum"
427577,2023-01-10,"Asian",1971-01-06,"Basic"
994611,2023-01-10,"Black",1994-06-19,"Basic"
547679,2023-01-11,"White",1949-02-07,"Basic"
888481,2023-01-11,"Other",2017-10-14,"Basic"
806735,2023-01-11,"Asian",1945-04-15,"Platinum"
177159,2023-01-11,"White",1953-11-10,"Basic"
755120,2023-01-12,"Other",1984-07-06,"Platinum"
673358,2023-01-12,"Other",2014-01-14,"Platinum"
155713,2023-01-12,"White",2009-07-03,"Platinum"
683051,2023-01-13,"Black",1957-07-08,"Basic"
580145,2023-01-13,"Asian",2015-11-14,"Basic"
731003,2023-01-13,"White",1941-09-16,"Platinum"
674869,2023-01-13,"Asian",1991-06-06,"Platinum"
201696,2023-01-14,"Asian",1996-02-05,"Gold"
276875,2023-01-14,"Black",1989-08-27,"Gold"
483606,2023-01-14,"Other",1941-07-03,"Platinum"
306487,2023-01-14,"Black",1970-06-26,"Basic"
176024,2023-01-14,"Other",1999-12-26,"Gold"
119237,2023-01-15,"Other",2012-09-18,"Platinum"
568991,2023-01-16,"White",1979-04-27,"Gold"
933040,2023-01-16,"Asian",1991-12-12,"Gold"
596604,2023-01-17,"Asian",2000-04-29,"Gold"
596558,2023-01-17,"Black",1951-03-22,"Gold"
888532,2023-01-17,"White",2013-01-11,"Gold"
369221,2023-01-18,"Black",2019-03-04,"Platinum"
611859,2023-01-18,"Other",1977-12-02,"Platinum"
742071,2023-01-19,"White",1968-09-22,"Platinum"
472457,2023-01-19,"Black",1991-01-30,"Gold"
139746,2023-01-19,"Black",1948-02-27,"Gold"
673141,2023-01-19,"White",1955-12-30,"Gold"
733667,2023-01-20,"Black",1944-11-15,"Platinum"
189787,2023-01-20,"Black",1986-05-12,"Basic"
813344,2023-01-20,"White",1966-11-04,"Gold"
548577,2023-01-23,"White",1962-05-09,"Basic"
591154,2023-01-23,"Black",2002-12-01,"Basic"
850402,2023-01-23,"Other",1991-09-17,"Gold"
102704,2023-01-23,"Black",2000-03-09,"Basic"
785116,2023-01-24,"White",1957-11-25,"Gold"
943375,2023-01-24,"Other",1958-07-26,"Platinum"
467914,2023-01-25,"Asian",1990-02-25,"Gold"
960368,2023-01-26,"Asian",1997-09-05,"Platinum"
714800,2023-01-26,"Asian",1974-06-25,"Basic"
626975,2023-01-27,"Black",1948-10-04,"Basic"
691378,2023-01-27,"Other",1979-12-07,"Basic"
554004,2023-01-27,"Asian",1997-07-20,"Gold"
806804,2023-01-28,"Other",1948-10-05,"Basic"
772826,2023-01-28,"White",1978-08-29,"Basic"
612794,2023-01-29,"Asian",1981-11-12,"Basic"
784685,2023-01-29,"White",1968-06-17,"Platinum"
957631,2023-01-29,"Black",1956-06-19,"Basic"
806648,2023-01-29,"Other",1986-08-20,"Platinum"
711747,2023-01-30,"White",1940-09-28,"Gold"
721471,2023-01-31,"Other",1985-08-17,"Platinum"
777515,2023-01-31,"White",1989-04-03,"Basic"
801438,2023-01-31,"Asian",1950-06-20,"Basic"
627428,2023-02-01,"White",2018-11-05,"Platinum"
598787,2023-02-01,"Other",1962-09-11,"Basic"
150648,2023-02-02,"Black",1950-06-04,"Basic"
866947,2023-02-02,"Other",1949-04-11,"Gold"
371550,2023-02-02,"Black",2004-08-20,"Basic"
742364,2023-02-02,"Black",1978-09-09,"Gold"
844387,2023-02-02,"Asian",1950-01-17,"Basic"
431391,2023-02-02,"Other",1980-04-25,"Basic"
867729,2023-02-03,"Black",1957-04-24,"Basic"
639573,2023-02-03,"Other",1943-10-07,"Gold"
134738,2023-02-04,"Asian",1992-04-21,"Basic"
150853,2023-02-05,"Other",1991-07-09,"Basic"
366334,2023-02-05,"Other",1996-10-15,"Platinum"
748205,2023-02-05,"Asian",2002-06-19,"Gold"
253467,2023-02-05,"Asian",1984-07-29,"Basic"
664634,2023-02-06,"Black",1952-03-05,"Basic"
239484,2023-02-06,"Other",1999-05-01,"Gold"
988008,2023-02-06,"Asian",1971-07-09,"Gold"
287391,2023-02-06,"Other",1954-11-25,"Platinum"
126580,2023-02-07,"Black",1945-07-17,"Platinum"
862571,2023-02-07,"Black",1962-03-10,"Gold"
606864,2023-02-08,"Other",1945-10-05,"Platinum"
890043,2023-02-08,"White",2010-05-24,"Basic"
429112,2023-02-08,"Black",1993-11-20,"Basic"
633342,2023-02-08,"Asian",1972-03-25,"Basic"
315439,2023-02-09,"White",1999-05-23,"Basic"
141574,2023-02-09,"Other",2012-12-18,"Platinum"
305931,2023-02-09,"Other",2011-10-01,"Platinum"
940601,2023-02-09,"Other",2011-08-04,"Platinum"
828504,2023-02-10,"Other",2013-09-21,"Basic"
747974,2023-02-10,"Asian",1966-08-14,"Gold"
375824,2023-02-10,"Other",1978-07-05,"Platinum"
435231,2023-02-11,"Black",2012-01-02,"Gold"
829902,2023-02-11,"Other",1968-04-14,"Platinum"
436544,2023-02-11,"Black",2013-04-10,"Basic"
793000,2023-02-12,"Asian",1951-04-29,"Basic"
884641,2023-02-12,"Other",1970-02-20,"Basic"
695485,2023-02-12,"White",1954-11-26,"Gold"
938610,2023-02-14,"Other",2006-11-18,"Platinum"
667559,2023-02-14,"Other",1985-05-16,"Basic"
290840,2023-02-14,"Asian",2001-08-03,"Gold"
737345,2023-02-14,"Other",1971-01-27,"Gold"
993967,2023-02-15,"Asian",1951-02-23,"Platinum"
913984,2023-02-15,"White",2008-09-06,"Platinum"
645286,2023-02-15,"Other",2006-05-07,"Basic"
307769,2023-02-16,"White",1981-07-26,"Gold"
440691,2023-02-16,"White",2013-07-02,"Basic"
583851,2023-02-16,"Other",2006-02-26,"Gold"
995456,2023-02-17,"Other",1975-03-05,"Basic"
533119,2023-02-17,"White",1960-01-25,"Platinum"
905817,2023-02-17,"Other",1969-04-24,"Gold"
712911,2023-02-18,"Other",1943-06-05,"Gold"
624601,2023-02-18,"Other",1991-04-20,"Gold"
303669,2023-02-18,"Black",2016-01-03,"Basic"
535172,2023-02-18,"Asian",1964-12-23,"Basic"
473692,2023-02-20,"White",2012-03-23,"Basic"
448076,2023-02-20,"White",1995-10-07,"Platinum"
582245,2023-02-20,"Other",2012-02-17,"Platinum"
698182,2023-02-20,"Asian",1960-12-28,"Gold"
236432,2023-02-20,"White",1957-10-13,"Basic"
978249,2023-02-20,"Asian",1944-07-09,"Platinum"
523380,2023-02-21,"Asian",1994-12-23,"Platinum"
247253,2023-02-21,"Asian",1987-09-26,"Gold"
528281,2023-02-22,"Black",2009-12-22,"Basic"
771442,2023-02-22,"White",1974-05-07,"Basic"
418614,2023-02-22,"White",2013-11-17,"Gold"
149442,2023-02-23,"Other",1952-06-10,"Gold"
263796,2023-02-24,"White",1952-02-10,"Gold"
200988,2023-02-24,"Asian",1969-10-08,"Platinum"
203783,2023-02-24,"Black",1975-07-10,"Platinum"
863998,2023-02-24,"Asian",2006-11-23,"Platinum"
978930,2023-02-25,"Asian",2016-03-27,"Basic"
662810,2023-02-25,"Asian",1994-12-11,"Gold"
804513,2023-02-25,"Asian",1974-05-12,"Gold"
188081,2023-02-26,"Other",1969-05-29,"Basic"
426503,2023-02-26,"Other",2009-09-03,"Platinum"
478020,2023-02-27,"Black",1987-05-16,"Gold"
900910,2023-02-27,"White",1967-09-21,"Gold"
313159,2023-02-27,"White",2008-09-23,"Platinum"
336949,2023-02-27,"White",1976-12-20,"Platinum"
322646,2023-02-27,"Asian",1956-02-24,"Basic"
430823,2023-02-27,"White",1986-11-22,"Gold"
128220,2023-02-27,"Other",1947-03-22,"Basic"
898177,2023-02-28,"Asian",1975-10-13,"Platinum"
399130,2023-02-28,"Asian",1958-07-04,"Basic"
248371,2023-03-01,"Asian",1979-12-30,"Gold"
429752,2023-03-02,"Asian",1945-11-15,"Platinum"
982951,2023-03-03,"Black",1982-03-06,"Platinum"
676797,2023-03-03,"Asian",1986-11-03,"Gold"
618265,2023-03-03,"Black",1945-05-31,"Basic"
413196,2023-03-04,"White",1974-10-01,"Platinum"
393185,2023-03-05,"Black",1967-08-11,"Gold"
714124,2023-03-07,"Other",1986-12-24,"Platinum"
571428,2023-03-08,"Black",1965-06-23,"Platinum"
700950,2023-03-10,"Black",1940-06-18,"Basic"
664810,2023-03-10,"Black",1947-07-02,"Gold"
535509,2023-03-10,"Other",2019-09-11,"Platinum"
344685,2023-03-10,"Asian",1990-01-06,"Gold"
698434,2023-03-11,"Black",1946-12-23,"Basic"
415677,2023-03-11,"Black",2008-03-31,"Basic"
582577,2023-03-11,"Black",1999-01-24,"Gold"
675810,2023-03-12,"Other",1968-12-12,"Gold"
258885,2023-03-12,"Black",1943-03-16,"Basic"
832052,2023-03-12,"Black",1981-08-21,"Basic"
968654,2023-03-12,"White",1981-01-26,"Gold"
980787,2023-03-13,"Black",1975-02-18,"Platinum"
512194,2023-03-13,"White",1985-04-09,"Gold"
221229,2023-03-13,"White",1965-02-26,"Platinum"
835234,2023-03-13,"Other",1948-06-04,"Basic"
528606,2023-03-13,"Other",2014-12-03,"Basic"
115702,2023-03-14,"Black",1977-02-17,"Platinum"
989180,2023-03-14,"White",1953-09-18,"Gold"
830235,2023-03-14,"Black",1947-08-15,"Gold"
859391,2023-03-15,"Black",1999-04-11,"Platinum"
588390,2023-03-16,"Black",1950-03-22,"Basic"
606785,2023-03-16,"White",1968-08-11,"Basic"
731691,2023-03-16,"Black",1951-07-29,"Platinum"
312371,2023-03-17,"Asian",2019-06-28,"Gold"
845839,2023-03-17,"Black",1979-05-29,"Platinum"
569706,2023-03-18,"Asian",2014-05-16,"Gold"
499282,2023-03-18,"Other",2019-06-14,"Platinum"
805034,2023-03-19,"Asian",1968-01-10,"Platinum"
973103,2023-03-19,"Asian",1942-03-29,"Platinum"
725355,2023-03-19,"Asian",1975-09-22,"Gold"
296100,2023-03-19,"Other",1991-10-22,"Gold"
963921,2023-03-20,"Black",2011-09-08,"Gold"
527900,2023-03-20,"Black",1952-10-11,"Gold"
638704,2023-03-21,"Other",1946-04-06,"Gold"
487923,2023-03-22,"White",1990-06-28,"Platinum"
184141,2023-03-22,"Black",1949-03-18,"Basic"
621479,2023-03-22,"White",1968-01-12,"Basic"
287144,2023-03-23,"White",1976-09-25,"Platinum"
762476,2023-03-23,"Other",1956-06-03,"Basic"
506007,2023-03-23,"Asian",1979-12-01,"Basic"
664103,2023-03-23,"Black",2014-06-29,"Gold"
500741,2023-03-23,"Other",1955-12-26,"Basic"
755287,2023-03-24,"Black",1997-08-27,"Platinum"
548861,2023-03-24,"Other",1962-05-03,"Platinum"
255988,2023-03-24,"Asian",2017-06-07,"Basic"
924472,2023-03-24,"White",1972-06-14,"Basic"
445531,2023-03-25,"Black",1963-11-01,"Gold"
125458,2023-03-25,"Other",1960-06-23,"Basic"
932133,2023-03-25,"Black",1944-09-22,"Basic"
894920,2023-03-25,"White",1979-12-03,"Platinum"
250381,2023-03-26,"Other",1945-05-18,"Platinum"
838073,2023-03-26,"Asian",2011-09-14,"Basic"
167376,2023-03-26,"Black",2004-06-25,"Basic"
513032,2023-03-26,"White",1973-01-12,"Basic"
458285,2023-03-27,"Other",2018-12-20,"Basic"
135265,2023-03-28,"White",1940-02-09,"Platinum"
650842,2023-03-28,"Other",1953-06-06,"Gold"
895152,2023-03-28,"Asian",1941-08-04,"Basic"
791978,2023-03-28,"White",1985-10-18,"Basic"
446540,2023-03-28,"Other",1950-07-22,"Basic"
373223,2023-03-29,"Asian",1985-11-12,"Basic"
842913,2023-03-29,"Other",1945-04-22,"Gold"
994016,2023-03-29,"Other",1955-03-29,"Platinum"
178058,2023-03-29,"Black",1988-01-01,"Gold"
132163,2023-03-29,"White",2019-08-19,"Basic"
264065,2023-03-30,"Other",1975-12-08,"Platinum"
316875,2023-03-31,"Other",1992-03-07,"Basic"
667164,2023-03-31,"Other",1977-03-29,"Gold"
166090,2023-04-01,"Black",2016-02-04,"Platinum"
549509,2023-04-02,"White",1970-04-13,"Gold"
856901,2023-04-02,"Other",1941-10-21,"Basic"
285940,2023-04-02,"Black",2017-06-03,"Platinum"
656164,2023-04-02,"Asian",1956-07-22,"Basic"
818135,2023-04-03,"Asian",1954-04-11,"Gold"
637023,2023-04-03,"Black",1953-11-23,"Platinum"
589251,2023-04-03,"White",1943-06-01,"Platinum"
731240,2023-04-04,"Other",1951-05-08,"Gold"
530288,2023-04-04,"Black",1966-08-24,"Platinum"
451214,2023-04-04,"White",1992-04-13,"Platinum"
478687,2023-04-05,"White",1999-05-13,"Platinum"
911471,2023-04-05,"White",2007-01-11,"Basic"
638662,2023-04-05,"Black",2008-03-04,"Basic"
284005,2023-04-05,"Asian",1992-07-02,"Basic"
192505,2023-04-06,"White",1966-10-15,"Platinum"
340059,2023-04-06,"White",2004-01-24,"Basic"
394262,2023-04-06,"Other",1961-08-29,"Basic"
687501,2023-04-06,"Black",1976-08-21,"Platinum"
594866,2023-04-07,"White",2004-08-19,"Gold"
954550,2023-04-08,"Black",1953-01-23,"Gold"
255005,2023-04-08,"White",1941-01-04,"Basic"
134047,2023-04-08,"Black",1959-04-06,"Basic"
771144,2023-04-08,"Asian",1962-10-21,"Basic"
287844,2023-04-08,"Other",1952-02-15,"Basic"
867196,2023-04-08,"Other",1953-06-18,"Basic"
484119,2023-04-08,"Other",1974-09-30,"Gold"
282672,2023-04-09,"Black",1991-07-20,"Platinum"
339687,2023-04-09,"White",1946-11-29,"Basic"
184178,2023-04-09,"Asian",1958-10-29,"Basic"
595739,2023-04-09,"White",1997-06-18,"Platinum"
347274,2023-04-09,"Black",1993-06-17,"Basic"
656794,2023-04-10,"Other",1951-10-21,"Basic"
614858,2023-04-10,"Other",1977-03-24,"Basic"
130206,2023-04-10,"Asian",1972-03-19,"Gold"
727292,2023-04-11,"Black",1984-01-13,"Gold"
982585,2023-04-11,"Black",2016-02-07,"Gold"
499108,2023-04-11,"White",1949-11-21,"Platinum"
708191,2023-04-12,"White",1974-06-30,"Basic"
181477,2023-04-12,"Black",1984-08-22,"Gold"
553320,2023-04-13,"Asian",1952-03-19,"Gold"
405909,2023-04-13,"Asian",1979-08-27,"Platinum"
421873,2023-04-13,"Other",1969-05-08,"Gold"
922365,2023-04-13,"Asian",2011-08-11,"Basic"
609432,2023-04-13,"Other",2009-05-28,"Platinum"
779629,2023-04-13,"White",1993-06-30,"Platinum"
101515,2023-04-14,"Black",1974-08-11,"Gold"
976803,2023-04-14,"Black",1940-07-11,"Platinum"
226852,2023-04-14,"Black",2017-02-24,"Platinum"
189566,2023-04-14,"Other",1962-09-08,"Basic"
701255,2023-04-15,"White",1973-03-22,"Gold"
706102,2023-04-15,"White",1958-06-19,"Platinum"
805246,2023-04-16,"Asian",1971-07-20,"Gold"
871141,2023-04-16,"Other",1944-02-24,"Basic"
991305,2023-04-16,"Other",1986-10-30,"Platinum"
675627,2023-04-18,"Other",1968-08-17,"Gold"
797127,2023-04-19,"Black",1987-06-26,"Platinum"
458824,2023-04-19,"Asian",1967-08-03,"Basic"
402150,2023-04-19,"Other",1970-10-14,"Platinum"
385445,2023-04-19,"Black",1957-01-29,"Basic"
669663,2023-04-20,"White",1994-06-02,"Gold"
372488,2023-04-20,"Other",1974-07-13,"Basic"
285157,2023-04-21,"Asian",2010-01-16,"Gold"
984067,2023-04-22,"Black",1958-04-09,"Basic"
604416,2023-04-24,"Other",2004-06-29,"Gold"
302917,2023-04-24,"Other",1955-05-03,"Gold"
385704,2023-04-24,"White",1987-01-01,"Basic"
467374,2023-04-24,"Black",2006-01-03,"Gold"
514864,2023-04-24,"Other",1965-02-19,"Platinum"
104185,2023-04-25,"White",1989-06-08,"Basic"
748215,2023-04-25,"Black",2013-05-01,"Gold"
663516,2023-04-25,"Other",1996-11-07,"Gold"
908478,2023-04-25,"Asian",1941-10-05,"Gold"
881176,2023-04-25,"Other",1979-01-18,"Basic"
873760,2023-04-26,"White",1980-12-31,"Gold"
528483,2023-04-26,"Black",2010-05-03,"Platinum"
327751,2023-04-27,"Asian",1984-04-26,"Platinum"
824009,2023-04-27,"Black",1989-03-27,"Platinum"
919470,2023-04-27,"Other",1949-10-09,"Basic"
431328,2023-04-27,"Black",1970-05-30,"Platinum"
934663,2023-04-27,"Black",1969-01-29,"Basic"
460507,2023-04-28,"White",1945-10-28,"Platinum"
915339,2023-04-28,"White",1997-05-07,"Gold"
