Challenge,Solution,Table
[2021-week-01](https://preppindata.blogspot.com/2021/01/2021-week-1.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-01.py),| [2021-week-01](https://preppindata.blogspot.com/2021/01/2021-week-1.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-01.py) |
[2021-week-02](https://preppindata.blogspot.com/2021/01/2021-week-2.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-02.py),| [2021-week-02](https://preppindata.blogspot.com/2021/01/2021-week-2.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-02.py) |
[2021-week-03](https://preppindata.blogspot.com/2021/01/2021-week-3.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-03.py),| [2021-week-03](https://preppindata.blogspot.com/2021/01/2021-week-3.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-03.py) |
[2021-week-04](https://preppindata.blogspot.com/2021/01/2021-week-4.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-04.py),| [2021-week-04](https://preppindata.blogspot.com/2021/01/2021-week-4.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-04.py) |
[2021-week-05](https://preppindata.blogspot.com/2021/02/2021-week-5-dealing-with-duplication.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-05.py),| [2021-week-05](https://preppindata.blogspot.com/2021/02/2021-week-5-dealing-with-duplication.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-05.py) |
[2021-week-06](https://preppindata.blogspot.com/2021/02/2021-week-6-comparing-prize-money-for.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-06.py),| [2021-week-06](https://preppindata.blogspot.com/2021/02/2021-week-6-comparing-prize-money-for.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-06.py) |
[2021-week-07](https://preppindata.blogspot.com/2021/02/2021-week-7-vegan-shopping-list.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-07.py),| [2021-week-07](https://preppindata.blogspot.com/2021/02/2021-week-7-vegan-shopping-list.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-07.py) |
[2021-week-08](https://preppindata.blogspot.com/2021/02/2021-week-8-karaoke-data.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-08.py),| [2021-week-08](https://preppindata.blogspot.com/2021/02/2021-week-8-karaoke-data.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-08.py) |
[2021-week-09](https://preppindata.blogspot.com/2021/03/2021-week-9-working-with-strings.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-09.py),| [2021-week-09](https://preppindata.blogspot.com/2021/03/2021-week-9-working-with-strings.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-09.py) |
[2021-week-10](https://preppindata.blogspot.com/2021/02/2021-week-10-pokemon-hierarchies.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-10.py),| [2021-week-10](https://preppindata.blogspot.com/2021/02/2021-week-10-pokemon-hierarchies.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-10.py) |
[2021-week-11](https://preppindata.blogspot.com/2021/03/2021-week-11-cocktail-profit-margins.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-11.py),| [2021-week-11](https://preppindata.blogspot.com/2021/03/2021-week-11-cocktail-profit-margins.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-11.py) |
[2021-week-12](https://preppindata.blogspot.com/2021/03/2021-week-12-maldives-tourism.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-12.py),| [2021-week-12](https://preppindata.blogspot.com/2021/03/2021-week-12-maldives-tourism.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-12.py) |
[2021-week-13](https://preppindata.blogspot.com/2021/03/2021-week-13.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-13.py),| [2021-week-13](https://preppindata.blogspot.com/2021/03/2021-week-13.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-13.py) |
[2021-week-14](https://preppindata.blogspot.com/2021/04/2021-week-14-prep-air-in-flight.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-14.py),| [2021-week-14](https://preppindata.blogspot.com/2021/04/2021-week-14-prep-air-in-flight.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-14.py) |
[2021-week-15](https://preppindata.blogspot.com/2021/04/2021-week-15-restaurant-menu-orders.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-15.py),| [2021-week-15](https://preppindata.blogspot.com/2021/04/2021-week-15-restaurant-menu-orders.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-15.py) |
[2021-week-16](https://preppindata.blogspot.com/2021/04/2021-week-16-super-league.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-16.py),| [2021-week-16](https://preppindata.blogspot.com/2021/04/2021-week-16-super-league.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-16.py) |
[2021-week-17](https://preppindata.blogspot.com/2021/04/week-17-timesheet-checks.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-17.py),| [2021-week-17](https://preppindata.blogspot.com/2021/04/week-17-timesheet-checks.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-17.py) |
[2021-week-18](https://preppindata.blogspot.com/2021/05/2021-week-18-prep-air-project-overruns.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-18.py),| [2021-week-18](https://preppindata.blogspot.com/2021/05/2021-week-18-prep-air-project-overruns.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-18.py) |
[2021-week-19](https://preppindata.blogspot.com/2021/05/2021-week-19-prep-air-project-details.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-19.py),| [2021-week-19](https://preppindata.blogspot.com/2021/05/2021-week-19-prep-air-project-details.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-19.py) |
[2021-week-20](https://preppindata.blogspot.com/2021/05/2021-week-20-controlling-complaints.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-20.py),| [2021-week-20](https://preppindata.blogspot.com/2021/05/2021-week-20-controlling-complaints.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-20.py) |
[2021-week-21](https://preppindata.blogspot.com/2021/05/2021-week-21-getting-trolleyed.html)),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-21.py),| [2021-week-21](https://preppindata.blogspot.com/2021/05/2021-week-21-getting-trolleyed.html)) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-21.py) |
[2021-week-22](https://preppindata.blogspot.com/2021/06/2021-week-22-answer-smash.html),[Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-22.py),| [2021-week-22](https://preppindata.blogspot.com/2021/06/2021-week-22-answer-smash.html) | [Python](https://github.com/wjsutton/preppin-data/blob/main/2021-week-22.py) |
