Month,Breakdown,Country,Number of Tourists
Mar-17,Asia,India,5008.0
Mar-17,Europe,France,5192.0
Apr-17,Europe,Germany,11172.0
Apr-17,Europe,Italy,8601.0
Apr-17,Europe,Russia,5400.0
Apr-17,Europe,United Kingdom,9417.0
Apr-17,Asia,China,20975.0
Apr-17,Asia,India,5362.0
Apr-17,Europe,France,4938.0
May-17,Europe,Germany,8742.0
May-17,Europe,Italy,3131.0
May-17,Europe,Russia,3564.0
May-17,Europe,United Kingdom,7151.0
May-17,Asia,China,23225.0
May-17,Asia,India,8092.0
May-17,Europe,France,2161.0
Jun-17,Europe,Germany,6885.0
Jun-17,Europe,Italy,2768.0
Jun-17,Europe,Russia,3262.0
Jun-17,Europe,United Kingdom,6081.0
Jun-17,Asia,China,24160.0
Jun-17,Asia,India,6919.0
Jun-17,Europe,France,701.0
Jul-17,Europe,Germany,6830.0
Jul-17,Europe,Italy,3698.0
Jul-17,Europe,Russia,4144.0
Jul-17,Europe,United Kingdom,7705.0
Jul-17,Asia,China,34276.0
Jul-17,Asia,India,5386.0
Jul-17,Europe,France,1504.0
Aug-17,Europe,Germany,6916.0
Aug-17,Europe,Italy,7227.0
Aug-17,Europe,Russia,4166.0
Aug-17,Europe,United Kingdom,8565.0
Aug-17,Asia,China,33743.0
Aug-17,Asia,India,6024.0
Aug-17,Europe,France,2695.0
Sep-17,Europe,Germany,8793.0
Sep-17,Europe,Italy,3577.0
Sep-17,Europe,Russia,3522.0
Sep-17,Europe,United Kingdom,7499.0
Sep-17,Asia,China,27214.0
Sep-17,Asia,India,6788.0
Sep-17,Europe,France,1515.0
Oct-17,Europe,Germany,15007.0
Oct-17,Europe,Italy,4898.0
Oct-17,Europe,Russia,5485.0
Oct-17,Europe,United Kingdom,9173.0
Oct-17,Asia,China,28689.0
Oct-17,Asia,India,7414.0
Oct-17,Europe,France,3170.0
Nov-17,Europe,Germany,11829.0
Nov-17,Europe,Italy,7017.0
Nov-17,Europe,Russia,6421.0
Nov-17,Europe,United Kingdom,9579.0
Nov-17,Asia,China,21195.0
Nov-17,Asia,India,7231.0
Nov-17,Europe,France,3345.0
Dec-17,Europe,Germany,9042.0
Dec-17,Europe,Italy,14756.0
Dec-17,Europe,Russia,7567.0
Dec-17,Europe,United Kingdom,9719.0
Dec-17,Asia,China,19918.0
Dec-17,Asia,India,12647.0
Dec-17,Europe,France,5491.0
Jan-18,Europe,Germany,8329.0
Jan-18,Europe,Italy,14329.0
Jan-18,Europe,Russia,9595.0
Jan-18,Europe,United Kingdom,9442.0
Jan-18,Asia,China,25830.0
Jan-18,Asia,India,8481.0
Jan-18,Europe,France,6335.0
Feb-18,Europe,Germany,9785.0
Feb-18,Europe,Italy,13962.0
Feb-18,Europe,Russia,6953.0
Feb-18,Europe,United Kingdom,11362.0
Feb-18,Asia,China,33506.0
Feb-18,Asia,India,6038.0
Feb-18,Europe,France,8058.0
Mar-18,Europe,Germany,14692.0
Mar-18,Europe,Italy,13198.0
Mar-18,Europe,Russia,7867.0
Mar-18,Europe,United Kingdom,11829.0
Mar-18,Asia,China,13203.0
Mar-18,Asia,India,4916.0
Mar-18,Europe,France,6452.0
Apr-18,Europe,Germany,9070.0
Apr-18,Europe,Italy,8389.0
Apr-18,Europe,Russia,6433.0
Apr-18,Europe,United Kingdom,10866.0
Apr-18,Asia,China,15093.0
Apr-18,Asia,India,5588.0
Apr-18,Europe,France,5903.0
May-18,Europe,Germany,10668.0
May-18,Europe,Italy,3258.0
May-18,Europe,Russia,3903.0
May-18,Europe,United Kingdom,7577.0
May-18,Asia,China,16927.0
May-18,Asia,India,8711.0
May-18,Europe,France,2555.0
Jun-18,Europe,Germany,5283.0
Jun-18,Europe,Italy,3236.0
Jun-18,Europe,Russia,3646.0
Jun-18,Europe,United Kingdom,6459.0
Jun-18,Asia,China,22853.0
Jun-18,Asia,India,7348.0
Jun-18,Europe,France,1057.0
Jul-18,Europe,Germany,6932.0
Jul-18,Europe,Italy,4644.0
Jul-18,Europe,Russia,4370.0
Jul-18,Europe,United Kingdom,8421.0
Jul-18,Asia,China,33227.0
Jul-18,Asia,India,5694.0
Jul-18,Europe,France,2043.0
Aug-18,Europe,Germany,6382.0
Aug-18,Europe,Italy,8771.0
Aug-18,Europe,Russia,4525.0
Aug-18,Europe,United Kingdom,9249.0
Aug-18,Asia,China,33472.0
Aug-18,Asia,India,4299.0
Aug-18,Europe,France,2714.0
Sep-18,Europe,Germany,9112.0
Sep-18,Europe,Italy,4133.0
Sep-18,Europe,Russia,3790.0
Sep-18,Europe,United Kingdom,8106.0
Sep-18,Asia,China,27997.0
Sep-18,Asia,India,5244.0
Sep-18,Europe,France,1853.0
Oct-18,Europe,Germany,13364.0
Oct-18,Europe,Italy,5663.0
Oct-18,Europe,Russia,5800.0
Oct-18,Europe,United Kingdom,9989.0
Oct-18,Asia,China,25803.0
Oct-18,Asia,India,7905.0
Oct-18,Europe,France,3743.0
Nov-18,Europe,Germany,13043.0
Nov-18,Europe,Italy,7927.0
Nov-18,Europe,Russia,6901.0
Nov-18,Europe,United Kingdom,10518.0
Nov-18,Asia,China,18465.0
Nov-18,Asia,India,11590.0
Nov-18,Europe,France,3349.0
Dec-18,Europe,Germany,10872.0
Dec-18,Europe,Italy,17787.0
Dec-18,Europe,Russia,7152.0
Dec-18,Europe,United Kingdom,10784.0
Dec-18,Asia,China,16740.0
Dec-18,Asia,India,14660.0
Dec-18,Europe,France,6414.0
Jan-19,Europe,Germany,9819.0
Jan-19,Europe,Italy,16768.0
Jan-19,Europe,Russia,9668.0
Jan-19,Europe,United Kingdom,10175.0
Jan-19,Asia,China,25804.0
Jan-19,Asia,India,11633.0
Jan-19,Europe,France,7153.0
Feb-19,Europe,Germany,11140.0
Feb-19,Europe,Italy,17795.0
Feb-19,Europe,Russia,7334.0
Feb-19,Europe,United Kingdom,13564.0
Feb-19,Asia,China,31285.0
Feb-19,Asia,India,12584.0
Feb-19,Europe,France,10730.0
Mar-19,Europe,Germany,16320.0
Mar-19,Europe,Italy,18285.0
Mar-19,Europe,Russia,9282.0
Mar-19,Europe,United Kingdom,12377.0
Mar-19,Asia,China,19479.0
Mar-19,Asia,India,11836.0
Mar-19,Europe,France,8809.0
Apr-19,Europe,Germany,17583.0
Apr-19,Europe,Italy,15043.0
Apr-19,Europe,Russia,6475.0
Apr-19,Europe,United Kingdom,12876.0
Apr-19,Asia,China,18704.0
Apr-19,Asia,India,12823.0
Apr-19,Europe,France,7244.0
May-19,Europe,Germany,7545.0
May-19,Europe,Italy,3443.0
May-19,Europe,Russia,5397.0
May-19,Europe,United Kingdom,8655.0
May-19,Asia,China,21010.0
May-19,Asia,India,17389.0
May-19,Europe,France,2008.0
Jun-19,Europe,Germany,6830.0
Jun-19,Europe,Italy,4042.0
Jun-19,Europe,Russia,4793.0
Jun-19,Europe,United Kingdom,7145.0
Jun-19,Asia,China,23983.0
Jun-19,Asia,India,15875.0
Jun-19,Europe,France,1439.0
Jul-19,Europe,Germany,8266.0
Jul-19,Europe,Italy,5337.0
Jul-19,Europe,Russia,5345.0
Jul-19,Europe,United Kingdom,8470.0
Jul-19,Asia,China,32569.0
Jul-19,Asia,India,11035.0
Jul-19,Europe,France,2242.0
Aug-19,Europe,Germany,7242.0
Aug-19,Europe,Italy,11449.0
Aug-19,Europe,Russia,5175.0
Aug-19,Europe,United Kingdom,9827.0
Aug-19,Asia,China,32757.0
Aug-19,Asia,India,11067.0
Aug-19,Europe,France,3173.0
Sep-19,Europe,Germany,8982.0
Sep-19,Europe,Italy,5213.0
Sep-19,Europe,Russia,4837.0
Sep-19,Europe,United Kingdom,7876.0
Sep-19,Asia,China,24758.0
Sep-19,Asia,India,11265.0
Sep-19,Europe,France,1924.0
Oct-19,Europe,Germany,13625.0
Oct-19,Europe,Italy,6560.0
Oct-19,Europe,Russia,7855.0
Oct-19,Europe,United Kingdom,11321.0
Oct-19,Asia,China,21926.0
Oct-19,Asia,India,15110.0
Oct-19,Europe,France,3940.0
Nov-19,Europe,Germany,12816.0
Nov-19,Europe,Italy,11114.0
Nov-19,Europe,Russia,8171.0
Nov-19,Europe,United Kingdom,11936.0
Nov-19,Asia,China,15600.0
Nov-19,Asia,India,14430.0
Nov-19,Europe,France,4229.0
Dec-19,Europe,Germany,11393.0
Dec-19,Europe,Italy,21294.0
Dec-19,Europe,Russia,9037.0
Dec-19,Europe,United Kingdom,11977.0
Dec-19,Asia,China,16154.0
Dec-19,Asia,India,20983.0
Dec-19,Europe,France,6847.0
Jan-20,Europe,Germany,9859.0
Jan-20,Europe,Italy,20766.0
Jan-20,Europe,Russia,12531.0
Jan-20,Europe,United Kingdom,10734.0
Jan-20,Asia,China,31744.0
Jan-20,Asia,India,13845.0
Jan-20,Europe,France,6955.0
Feb-20,Europe,Germany,11698.0
Feb-20,Europe,Italy,19849.0
Feb-20,Europe,Russia,9690.0
Feb-20,Europe,United Kingdom,14796.0
Feb-20,Asia,China,1647.0
Feb-20,Asia,India,15521.0
Feb-20,Europe,France,10787.0
Feb-20,Oceania,Australia,2040.0
Feb-20,Americas,United States,4543.0
Mar-20,Europe,Germany,6671.0
Mar-20,Europe,Italy,3996.0
Mar-20,Europe,Russia,6728.0
Mar-20,Europe,United Kingdom,7288.0
Mar-20,Asia,China,498.0
Mar-20,Asia,India,5496.0
Mar-20,Europe,France,4042.0
Mar-20,Oceania,Australia,1388.0
Mar-20,Americas,United States,1820.0
Apr-20,Europe,Germany,0.0
Apr-20,Europe,Italy,0.0
Apr-20,Europe,Russia,0.0
Apr-20,Europe,United Kingdom,0.0
Apr-20,Asia,China,0.0
Apr-20,Asia,India,1.0
Apr-20,Europe,France,0.0
Apr-20,Oceania,Australia,0.0
Apr-20,Americas,United States,0.0
May-20,Europe,Germany,11.0
May-20,Europe,Italy,1.0
May-20,Europe,Russia,0.0
May-20,Europe,United Kingdom,0.0
May-20,Asia,China,0.0
May-20,Asia,India,1.0
May-20,Europe,France,1.0
May-20,Oceania,Australia,0.0
May-20,Americas,United States,0.0
Jun-20,Europe,Germany,0.0
Jun-20,Europe,Italy,0.0
Jun-20,Europe,Russia,0.0
Jun-20,Europe,United Kingdom,1.0
Jun-20,Asia,China,0.0
Jun-20,Asia,India,0.0
Jun-20,Europe,France,0.0
Jun-20,Oceania,Australia,0.0
Jun-20,Americas,United States,0.0
Jul-20,Europe,Germany,133.0
Jul-20,Europe,Italy,44.0
Jul-20,Europe,Russia,52.0
Jul-20,Europe,United Kingdom,256.0
Jul-20,Asia,China,16.0
Jul-20,Asia,India,31.0
Jul-20,Europe,France,58.0
Jul-20,Oceania,Australia,17.0
Jul-20,Americas,United States,189.0
Aug-20,Europe,Germany,306.0
Aug-20,Europe,Italy,513.0
Aug-20,Europe,Russia,423.0
Aug-20,Europe,United Kingdom,715.0
Aug-20,Asia,China,34.0
Aug-20,Asia,India,115.0
Aug-20,Europe,France,301.0
Aug-20,Oceania,Australia,49.0
Aug-20,Americas,United States,674.0
Sep-20,Europe,Germany,362.0
Sep-20,Europe,Italy,72.0
Sep-20,Europe,Russia,2065.0
Sep-20,Europe,United Kingdom,628.0
Sep-20,Asia,China,33.0
Sep-20,Asia,India,308.0
Sep-20,Europe,France,279.0
Sep-20,Oceania,Australia,61.0
Sep-20,Americas,United States,935.0
Oct-20,Europe,Germany,949.0
Oct-20,Europe,Italy,137.0
Oct-20,Europe,Russia,5995.0
Oct-20,Europe,United Kingdom,1780.0
Oct-20,Asia,China,41.0
Oct-20,Asia,India,1396.0
Oct-20,Europe,France,1093.0
Oct-20,Oceania,Australia,160.0
Oct-20,Americas,United States,1449.0
Nov-20,Europe,Germany,2083.0
Nov-20,Europe,Italy,267.0
Nov-20,Europe,Russia,8580.0
Nov-20,Europe,United Kingdom,2091.0
Nov-20,Asia,China,61.0
Nov-20,Asia,India,7609.0
Nov-20,Europe,France,517.0
Nov-20,Oceania,Australia,209.0
Nov-20,Americas,United States,2093.0
Dec-20,Europe,Germany,4363.0
Dec-20,Europe,Italy,1045.0
Dec-20,Europe,Russia,15323.0
Dec-20,Europe,United Kingdom,14431.0
Dec-20,Asia,China,171.0
Dec-20,Asia,India,18637.0
Dec-20,Europe,France,3998.0
Dec-20,Oceania,Australia,607.0
Dec-20,Americas,United States,3005.0
Jan-10,Europe,Unknown,11991.0
Jan-10,Asia,Unknown,5432.0
Jan-10,Africa,Unknown,
Jan-10,Americas,Unknown,
Jan-10,Oceania,Unknown,
Jan-10,Middle East,Unknown,
Feb-10,Europe,Unknown,11966.0
Feb-10,Asia,Unknown,5838.0
Feb-10,Africa,Unknown,
Feb-10,Americas,Unknown,
Feb-10,Oceania,Unknown,
Feb-10,Middle East,Unknown,
Mar-10,Europe,Unknown,12069.0
Mar-10,Asia,Unknown,7079.0
Mar-10,Africa,Unknown,
Mar-10,Americas,Unknown,
Mar-10,Oceania,Unknown,
Mar-10,Middle East,Unknown,
Apr-10,Europe,Unknown,8241.0
Apr-10,Asia,Unknown,7507.0
Apr-10,Africa,Unknown,
Apr-10,Americas,Unknown,
Apr-10,Oceania,Unknown,
Apr-10,Middle East,Unknown,
May-10,Europe,Unknown,7154.0
May-10,Asia,Unknown,9599.0
May-10,Africa,Unknown,
May-10,Americas,Unknown,
May-10,Oceania,Unknown,
May-10,Middle East,Unknown,
Jun-10,Europe,Unknown,5854.0
Jun-10,Asia,Unknown,6762.0
Jun-10,Africa,Unknown,
Jun-10,Americas,Unknown,
Jun-10,Oceania,Unknown,
Jun-10,Middle East,Unknown,
Jul-10,Europe,Unknown,8759.0
Jul-10,Asia,Unknown,7334.0
Jul-10,Africa,Unknown,
Jul-10,Americas,Unknown,
Jul-10,Oceania,Unknown,
Jul-10,Middle East,Unknown,
Aug-10,Europe,Unknown,8991.0
Aug-10,Asia,Unknown,7965.0
Aug-10,Africa,Unknown,
Aug-10,Americas,Unknown,
Aug-10,Oceania,Unknown,
Aug-10,Middle East,Unknown,
Sep-10,Europe,Unknown,8685.0
Sep-10,Asia,Unknown,8263.0
Sep-10,Africa,Unknown,
Sep-10,Americas,Unknown,
Sep-10,Oceania,Unknown,
Sep-10,Middle East,Unknown,
Oct-10,Europe,Unknown,11611.0
Oct-10,Asia,Unknown,10241.0
Oct-10,Africa,Unknown,
Oct-10,Americas,Unknown,
Oct-10,Oceania,Unknown,
Oct-10,Middle East,Unknown,
Nov-10,Europe,Unknown,12651.0
Nov-10,Asia,Unknown,10211.0
Nov-10,Africa,Unknown,
Nov-10,Americas,Unknown,
Nov-10,Oceania,Unknown,
Nov-10,Middle East,Unknown,
Dec-10,Europe,Unknown,12662.0
Dec-10,Asia,Unknown,8934.0
Dec-10,Africa,Unknown,
Dec-10,Americas,Unknown,
Dec-10,Oceania,Unknown,
Dec-10,Middle East,Unknown,
Jan-11,Europe,Unknown,13414.0
Jan-11,Asia,Unknown,6075.0
Jan-11,Africa,Unknown,
Jan-11,Americas,Unknown,
Jan-11,Oceania,Unknown,
Jan-11,Middle East,Unknown,
Feb-11,Europe,Unknown,14115.0
Feb-11,Asia,Unknown,6763.0
Feb-11,Africa,Unknown,
Feb-11,Americas,Unknown,
Feb-11,Oceania,Unknown,
Feb-11,Middle East,Unknown,
Mar-11,Europe,Unknown,12523.0
Mar-11,Asia,Unknown,7419.0
Mar-11,Africa,Unknown,
Mar-11,Americas,Unknown,
Mar-11,Oceania,Unknown,
Mar-11,Middle East,Unknown,
Apr-11,Europe,Unknown,13084.0
Apr-11,Asia,Unknown,8400.0
Apr-11,Africa,Unknown,
Apr-11,Americas,Unknown,
Apr-11,Oceania,Unknown,
Apr-11,Middle East,Unknown,
May-11,Europe,Unknown,7774.0
May-11,Asia,Unknown,8808.0
May-11,Africa,Unknown,
May-11,Americas,Unknown,
May-11,Oceania,Unknown,
May-11,Middle East,Unknown,
Jun-11,Europe,Unknown,6067.0
Jun-11,Asia,Unknown,7977.0
Jun-11,Africa,Unknown,
Jun-11,Americas,Unknown,
Jun-11,Oceania,Unknown,
Jun-11,Middle East,Unknown,
Jul-11,Europe,Unknown,9766.0
Jul-11,Asia,Unknown,8571.0
Jul-11,Africa,Unknown,
Jul-11,Americas,Unknown,
Jul-11,Oceania,Unknown,
Jul-11,Middle East,Unknown,
Aug-11,Europe,Unknown,9409.0
Aug-11,Asia,Unknown,8543.0
Aug-11,Africa,Unknown,
Aug-11,Americas,Unknown,
Aug-11,Oceania,Unknown,
Aug-11,Middle East,Unknown,
Sep-11,Europe,Unknown,9018.0
Sep-11,Asia,Unknown,9309.0
Sep-11,Africa,Unknown,
Sep-11,Americas,Unknown,
Sep-11,Oceania,Unknown,
Sep-11,Middle East,Unknown,
Oct-11,Europe,Unknown,13697.0
Oct-11,Asia,Unknown,11660.0
Oct-11,Africa,Unknown,
Oct-11,Americas,Unknown,
Oct-11,Oceania,Unknown,
Oct-11,Middle East,Unknown,
Nov-11,Europe,Unknown,13120.0
Nov-11,Asia,Unknown,11074.0
Nov-11,Africa,Unknown,
Nov-11,Americas,Unknown,
Nov-11,Oceania,Unknown,
Nov-11,Middle East,Unknown,
Dec-11,Europe,Unknown,13799.0
Dec-11,Asia,Unknown,10460.0
Dec-11,Africa,Unknown,
Dec-11,Americas,Unknown,
Dec-11,Oceania,Unknown,
Dec-11,Middle East,Unknown,
Jan-12,Europe,Unknown,14777.0
Jan-12,Asia,Unknown,6118.0
Jan-12,Africa,Unknown,
Jan-12,Americas,Unknown,
Jan-12,Oceania,Unknown,
Jan-12,Middle East,Unknown,
Feb-12,Europe,Unknown,16058.0
Feb-12,Asia,Unknown,6693.0
Feb-12,Africa,Unknown,
Feb-12,Americas,Unknown,
Feb-12,Oceania,Unknown,
Feb-12,Middle East,Unknown,
Mar-12,Europe,Unknown,13425.0
Mar-12,Asia,Unknown,8041.0
Mar-12,Africa,Unknown,
Mar-12,Americas,Unknown,
Mar-12,Oceania,Unknown,
Mar-12,Middle East,Unknown,
Apr-12,Europe,Unknown,12935.0
Apr-12,Asia,Unknown,9328.0
Apr-12,Africa,Unknown,
Apr-12,Americas,Unknown,
Apr-12,Oceania,Unknown,
Apr-12,Middle East,Unknown,
May-12,Europe,Unknown,7655.0
May-12,Asia,Unknown,7243.0
May-12,Africa,Unknown,
May-12,Americas,Unknown,
May-12,Oceania,Unknown,
May-12,Middle East,Unknown,
Jun-12,Europe,Unknown,6580.0
Jun-12,Asia,Unknown,8953.0
Jun-12,Africa,Unknown,
Jun-12,Americas,Unknown,
Jun-12,Oceania,Unknown,
Jun-12,Middle East,Unknown,
Jul-12,Europe,Unknown,10816.0
Jul-12,Asia,Unknown,7914.0
Jul-12,Africa,Unknown,
Jul-12,Americas,Unknown,
Jul-12,Oceania,Unknown,
Jul-12,Middle East,Unknown,
Aug-12,Europe,Unknown,8981.0
Aug-12,Asia,Unknown,10050.0
Aug-12,Africa,Unknown,
Aug-12,Americas,Unknown,
Aug-12,Oceania,Unknown,
Aug-12,Middle East,Unknown,
Sep-12,Europe,Unknown,9556.0
Sep-12,Asia,Unknown,9397.0
Sep-12,Africa,Unknown,
Sep-12,Americas,Unknown,
Sep-12,Oceania,Unknown,
Sep-12,Middle East,Unknown,
Oct-12,Europe,Unknown,13150.0
Oct-12,Asia,Unknown,10375.0
Oct-12,Africa,Unknown,
Oct-12,Americas,Unknown,
Oct-12,Oceania,Unknown,
Oct-12,Middle East,Unknown,
Nov-12,Europe,Unknown,12602.0
Nov-12,Asia,Unknown,10708.0
Nov-12,Africa,Unknown,
Nov-12,Americas,Unknown,
Nov-12,Oceania,Unknown,
Nov-12,Middle East,Unknown,
Dec-12,Europe,Unknown,15212.0
Dec-12,Asia,Unknown,11588.0
Dec-12,Africa,Unknown,
Dec-12,Americas,Unknown,
Dec-12,Oceania,Unknown,
Dec-12,Middle East,Unknown,
Jan-13,Europe,Unknown,16229.0
Jan-13,Asia,Unknown,7083.0
Jan-13,Africa,Unknown,
Jan-13,Americas,Unknown,
Jan-13,Oceania,Unknown,
Jan-13,Middle East,Unknown,
Feb-13,Europe,Unknown,16360.0
Feb-13,Asia,Unknown,7706.0
Feb-13,Africa,Unknown,
Feb-13,Americas,Unknown,
Feb-13,Oceania,Unknown,
Feb-13,Middle East,Unknown,
Mar-13,Europe,Unknown,16953.0
Mar-13,Asia,Unknown,10108.0
Mar-13,Africa,Unknown,
Mar-13,Americas,Unknown,
Mar-13,Oceania,Unknown,
Mar-13,Middle East,Unknown,
Apr-13,Europe,Unknown,14217.0
Apr-13,Asia,Unknown,11053.0
Apr-13,Africa,Unknown,
Apr-13,Americas,Unknown,
Apr-13,Oceania,Unknown,
Apr-13,Middle East,Unknown,
May-13,Europe,Unknown,8886.0
May-13,Asia,Unknown,10382.0
May-13,Africa,Unknown,
May-13,Americas,Unknown,
May-13,Oceania,Unknown,
May-13,Middle East,Unknown,
Jun-13,Europe,Unknown,7994.0
Jun-13,Asia,Unknown,11392.0
Jun-13,Africa,Unknown,
Jun-13,Americas,Unknown,
Jun-13,Oceania,Unknown,
Jun-13,Middle East,Unknown,
Jul-13,Europe,Unknown,11542.0
Jul-13,Asia,Unknown,10433.0
Jul-13,Africa,Unknown,
Jul-13,Americas,Unknown,
Jul-13,Oceania,Unknown,
Jul-13,Middle East,Unknown,
Aug-13,Europe,Unknown,9997.0
Aug-13,Asia,Unknown,13060.0
Aug-13,Africa,Unknown,
Aug-13,Americas,Unknown,
Aug-13,Oceania,Unknown,
Aug-13,Middle East,Unknown,
Sep-13,Europe,Unknown,11147.0
Sep-13,Asia,Unknown,11974.0
Sep-13,Africa,Unknown,
Sep-13,Americas,Unknown,
Sep-13,Oceania,Unknown,
Sep-13,Middle East,Unknown,
Sep-13,UN passport holders and others,Unknown,
Oct-13,Europe,Unknown,14663.0
Oct-13,Asia,Unknown,13854.0
Oct-13,Africa,Unknown,
Oct-13,Americas,Unknown,
Oct-13,Oceania,Unknown,
Oct-13,Middle East,Unknown,
Oct-13,UN passport holders and others,Unknown,
Nov-13,Europe,Unknown,14338.0
Nov-13,Asia,Unknown,12752.0
Nov-13,Africa,Unknown,
Nov-13,Americas,Unknown,
Nov-13,Oceania,Unknown,
Nov-13,Middle East,Unknown,
Nov-13,UN passport holders and others,Unknown,
Dec-13,Europe,Unknown,16820.0
Dec-13,Asia,Unknown,16223.0
Dec-13,Africa,Unknown,
Dec-13,Americas,Unknown,
Dec-13,Oceania,Unknown,
